time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1962392,1.95186405,0.02238285,-0.07487596,0.01452220,-0.05762364,-0.02378550,0.99805469,0.00488927,0.00278940,-0.00537896,0.00000234,-0.02882587,-0.01189847,0.99951353,0.05765559,-0.02382735,3.14090085
1995260,1.98473205,0.00652833,-0.03490658,-0.06888055,-0.05611539,-0.02247454,0.99817123,0.01387906,0.01246477,0.01427996,-0.00000153,-0.02807052,-0.01124245,0.99954261,0.05614490,-0.02251191,3.14096355
2028168,2.01764011,0.04476570,-0.07194488,-0.08340275,-0.05809096,-0.02260490,0.99805517,-0.02613756,-0.00229745,0.02464992,-0.00000352,-0.02905957,-0.01130805,0.99951362,0.05812369,-0.02264507,3.14094138
2061056,2.05052804,0.03437366,-0.10765085,-0.03317458,-0.06000210,-0.02309258,0.99793090,-0.01739048,-0.00449531,0.00524288,-0.00000434,-0.03001653,-0.01155240,0.99948253,0.06003818,-0.02313633,3.14090657
2093948,2.08342003,0.02424809,-0.08646708,-0.04902909,-0.06079749,-0.02491249,0.99783916,-0.00194665,-0.00536095,-0.00931376,0.00002251,-0.03041546,-0.01246230,0.99945964,0.06083501,-0.02496126,3.14078807
2126820,2.11629199,-0.01612098,-0.10978255,-0.02025115,-0.06219054,-0.02632095,0.99771709,-0.02325868,-0.02323960,-0.00528544,0.00003684,-0.03111352,-0.01316684,0.99942913,0.06223070,-0.02637505,3.14069795
2159748,2.14921998,0.01705360,-0.10738439,0.02451455,-0.06355186,-0.02775438,0.99759235,-0.02458291,-0.02473585,0.01974160,0.00004773,-0.03179574,-0.01388403,0.99939785,0.06359473,-0.02781419,3.14061236
2192664,2.18213605,0.01465544,-0.14468913,0.07500919,-0.06167538,-0.02849473,0.99768934,0.00869686,-0.00226699,-0.02283585,0.00006585,-0.03085646,-0.01425357,0.99942216,0.06171456,-0.02855296,3.14057946
2225580,2.21505188,-0.02278254,-0.08966463,0.06528330,-0.05968684,-0.02822672,0.99781789,0.03869075,0.00527750,0.00486761,0.00006985,-0.02986070,-0.01411898,0.99945430,0.05972235,-0.02828090,3.14060807
2258492,2.24796390,-0.03077642,-0.07740735,0.06408423,-0.05773451,-0.02777606,0.99794530,0.04772474,0.01117449,0.00596094,0.00007095,-0.02888308,-0.01389312,0.99948616,0.05776664,-0.02782606,3.14064669
2291364,2.28083610,-0.04609801,-0.01252374,0.01252374,-0.05583405,-0.02717969,0.99806995,0.05925202,0.01887891,0.00290656,0.00007424,-0.02793152,-0.01359433,0.99951734,0.05586311,-0.02722552,3.14068341
2324228,2.31369996,-0.01745329,0.00999234,-0.00572894,-0.05733751,-0.02849241,0.99794778,-0.00272109,-0.00153689,0.03867328,0.00008273,-0.02868465,-0.01425115,0.99948673,0.05736898,-0.02854325,3.14060807
2357104,2.34657597,0.04476570,0.12110720,0.03503981,-0.05630878,-0.03018641,0.99795684,0.01163105,-0.02328039,0.03671109,0.00011184,-0.02817047,-0.01509777,0.99948902,0.05633859,-0.03023899,3.14051675
2389908,2.37937998,0.07381011,0.19651605,0.05529096,-0.05699978,-0.03205731,0.99785938,-0.00965060,-0.02336261,0.03265816,0.00012894,-0.02851723,-0.01603356,0.99946470,0.05703070,-0.03211504,3.14041852
2422736,2.41220808,0.08300307,0.33374426,0.06141960,-0.05583646,-0.03362547,0.99787349,0.02190091,-0.02716555,-0.01056880,0.00015677,-0.02793572,-0.01681730,0.99946823,0.05586552,-0.03368438,3.14033770
2455532,2.44500398,0.05009494,0.47057275,0.03290811,-0.05774434,-0.03441158,0.99773797,-0.02062480,-0.00880131,-0.02581418,0.00015033,-0.02889110,-0.01721118,0.99943428,0.05777649,-0.03447592,3.14029550
2488348,2.47781991,-0.02558040,0.36705207,0.03583920,-0.05977391,-0.03407599,0.99763002,-0.04471828,0.00941779,-0.04011047,0.00012597,-0.02990683,-0.01704433,0.99940729,0.05980957,-0.03414366,3.14031910
2521204,2.51067590,-0.05715620,0.22409496,0.09006432,-0.06171805,-0.03348985,0.99753150,-0.05620188,0.01493517,0.04739034,0.00009308,-0.03087965,-0.01675240,0.99938268,0.06175730,-0.03356013,3.14036965
2554036,2.54350805,0.05022818,0.15334916,0.10005666,-0.06294996,-0.03188386,0.99750728,-0.02176684,0.02602448,0.02422118,0.00005002,-0.03149540,-0.01595030,0.99937667,0.06299161,-0.03195266,3.14048576
2586848,2.57631993,0.03996937,0.14855283,0.07207810,-0.06486001,-0.03121936,0.99740591,-0.04720053,0.01632679,-0.00009143,0.00001866,-0.03245135,-0.01561921,0.99935131,0.06490558,-0.03129035,3.14053940
2619736,2.60920810,0.05582389,0.00359724,0.12124042,-0.06638946,-0.02992096,0.99734477,-0.00612031,0.00282135,0.02682519,-0.00002454,-0.03321642,-0.01497124,0.99933586,0.06643834,-0.02999162,3.14064502
2652596,2.64206790,0.07434303,-0.18372588,0.10178867,-0.06738806,-0.03161253,0.99722566,-0.01586389,-0.02673708,-0.00821203,-0.00001279,-0.03371722,-0.01581767,0.99930610,0.06743919,-0.03168987,3.14054918
2685536,2.67500805,0.04636447,-0.08686677,0.11324656,-0.06789033,-0.03353024,0.99712924,-0.00925811,-0.04117679,-0.03252965,0.00000569,-0.03396965,-0.01677698,0.99928207,0.06794259,-0.03361412,3.14043879
2718428,2.70790004,-0.07074579,0.03877029,0.09326187,-0.06690775,-0.03527927,0.99713497,0.02076517,-0.02795315,-0.05524039,0.00003528,-0.03347849,-0.01765110,0.99928340,0.06695779,-0.03536588,3.14033746
2751292,2.74076390,-0.09566003,-0.08886525,0.05755590,-0.06491563,-0.03554363,0.99725742,0.01999375,-0.00254231,0.00225431,0.00005133,-0.03248101,-0.01778235,0.99931411,0.06496131,-0.03562630,3.14033222
2784144,2.77361607,-0.07953906,-0.21183767,0.01625421,-0.06289096,-0.03544085,0.99739065,0.05922885,0.00297014,0.02018744,0.00006527,-0.03146718,-0.01772994,0.99934740,0.06293251,-0.03551861,3.14034390
2817044,2.80651588,-0.08326952,-0.08353599,-0.08606738,-0.06092171,-0.03507594,0.99752597,0.08973031,0.01798610,-0.01559240,0.00008368,-0.03048118,-0.01754628,0.99938125,0.06095945,-0.03514846,3.14035344
2849936,2.83940792,-0.15428178,-0.10884993,-0.23088974,-0.05943291,-0.03376094,0.99766092,0.04380791,0.03888790,-0.05723125,0.00009570,-0.02973547,-0.01688750,0.99941501,0.05946797,-0.03382719,3.14039492
2882880,2.87235183,-0.25473811,-0.08340275,-0.28511486,-0.06026893,-0.03561043,0.99754657,-0.00467248,-0.01248528,-0.03001732,0.00013939,-0.03015545,-0.01781194,0.99938640,0.06030548,-0.03568285,3.14023733
2915860,2.90533208,-0.21316998,0.03597244,-0.32002143,-0.06149153,-0.03722595,0.99741268,-0.04446550,-0.05530334,0.04604435,0.00017962,-0.03076902,-0.01861950,0.99935283,0.06153038,-0.03730520,3.14008498
2948780,2.93825197,-0.18226033,0.19651605,-0.15947778,-0.06340915,-0.03789860,0.99726762,-0.18195218,-0.06293148,0.06205851,0.00018558,-0.03172978,-0.01895637,0.99931659,0.06345173,-0.03798416,3.14001560
2981684,2.97115592,-0.09979021,0.13336446,0.04743032,-0.06533051,-0.03851214,0.99712028,-0.06723785,-0.02154645,0.01801646,0.00017288,-0.03269213,-0.01926429,0.99927978,0.06537708,-0.03860418,3.13998413
3014560,3.00403189,-0.09392803,-0.07580858,0.07913936,-0.06690999,-0.03732018,0.99706077,-0.02268962,0.01754479,-0.00462914,0.00013060,-0.03348205,-0.01866944,0.99926490,0.06696003,-0.03741273,3.14007806
3047412,3.03688406,-0.14309035,-0.20251147,0.05742266,-0.06557171,-0.03584082,0.99720382,0.02284709,0.02461036,-0.04310226,0.00011180,-0.03281080,-0.01792928,0.99930067,0.06561880,-0.03592586,3.14018964
3080284,3.06975603,-0.20597550,0.01692037,0.03317458,-0.06361685,-0.03625123,0.99731559,0.01454458,-0.00183471,-0.01806754,0.00013210,-0.03183219,-0.01813358,0.99932861,0.06365985,-0.03633280,3.14017128
3113160,3.10263204,-0.22116384,0.24487903,-0.02131700,-0.06208772,-0.03752455,0.99736480,0.03938263,-0.03278795,0.02363133,0.00016759,-0.03106748,-0.01876944,0.99934091,0.06212769,-0.03760595,3.14008855
3146052,3.13552403,-0.19025421,0.16307504,-0.04916233,-0.06142470,-0.03943453,0.99733219,0.02211806,-0.07116117,0.05320489,0.00020733,-0.03073694,-0.01972405,0.99933280,0.06146339,-0.03951942,3.13996267
3178940,3.16841197,-0.09099694,0.02398162,-0.05742266,-0.06096351,-0.04139489,0.99728097,0.02898109,-0.13756018,0.05179125,0.00024650,-0.03050761,-0.02070400,0.99931993,0.06100135,-0.04148393,3.13983345
3211828,3.20129990,0.12070751,0.22076418,-0.08380245,-0.06086000,-0.04336687,0.99720373,0.00495179,-0.12679913,0.05894858,0.00028645,-0.03045751,-0.02168988,0.99930067,0.06089764,-0.04346109,3.13969540
3244660,3.23413205,-0.24514546,0.59461107,-0.10511945,-0.06017482,-0.04524830,0.99716167,0.08483303,-0.13224194,-0.35433940,0.00033259,-0.03011632,-0.02263020,0.99929008,0.06021121,-0.04534599,3.13956117
3277532,3.26700401,-0.48549466,0.27192494,-0.29697241,-0.06083976,-0.04722910,0.99702920,-0.06367197,-0.17493885,0.12943565,0.00037922,-0.03045147,-0.02362056,0.99925689,0.06087737,-0.04733444,3.13939213
3310388,3.29986000,-0.10165544,-0.16587288,-0.14908576,-0.06213107,-0.04873401,0.99687709,-0.12048611,-0.13193005,0.15082794,0.00039849,-0.03109955,-0.02437365,0.99921884,0.06217114,-0.04884778,3.13927578
3343200,3.33267211,0.01665390,-0.15827871,0.00000000,-0.06383497,-0.04970721,0.99672174,-0.17884081,-0.10190412,0.06382513,0.00039232,-0.03195343,-0.02486146,0.99918003,0.06387841,-0.04982942,3.13921499
