time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1895400,1.88487195,0.01505513,0.03783767,0.05409188,-0.07806506,-0.03738360,0.99624710,-0.03472791,-0.00729414,0.01498342,-0.00021781,-0.03906512,-0.01871788,0.99906129,0.07814457,-0.03750683,3.14056229
1928260,1.91773204,0.01438897,0.05702297,0.03810414,-0.07613234,-0.03696793,0.99641208,0.01363234,0.00303238,-0.00568938,-0.00021087,-0.03809646,-0.01850861,0.99910249,0.07620609,-0.03708404,3.14060091
1961104,1.95057592,-0.01718683,0.12403829,-0.01305666,-0.07806720,-0.03641756,0.99628248,-0.03423749,0.01078280,-0.01703447,-0.00023772,-0.03906559,-0.01823503,0.99907007,0.07814673,-0.03653718,3.14064002
1994040,1.98351202,-0.04196784,0.06714855,0.01025880,-0.08006119,-0.03655886,0.99611911,-0.07618881,-0.00543332,0.00290436,-0.00025419,-0.04006484,-0.01830739,0.99902925,0.08014699,-0.03668484,3.14063048
2026976,2.01644802,-0.03543951,-0.04330015,0.03130934,-0.08198520,-0.03702214,0.99594516,-0.06498745,-0.01546810,-0.00131631,-0.00026560,-0.04102930,-0.01854077,0.99898567,0.08207736,-0.03715574,3.14059853
2059924,2.04939603,-0.05302603,0.01199081,0.05862174,-0.08385015,-0.03771319,0.99576435,-0.04163814,-0.01526532,-0.00260031,-0.00027409,-0.04196435,-0.01888811,0.99894046,0.08394872,-0.03785552,3.14055132
2092836,2.08230805,-0.05502450,-0.03317458,0.05382542,-0.08580065,-0.03805381,0.99558525,-0.04920912,-0.00857704,0.00563544,-0.00029057,-0.04294220,-0.01906044,0.99889564,0.08590627,-0.03820396,3.14053225
2125712,2.11518406,-0.02664625,-0.05649004,0.09006432,-0.08684557,-0.03974214,0.99542875,-0.01325209,-0.01836333,0.02654392,-0.00027240,-0.04346707,-0.01990567,0.99885644,0.08695510,-0.03990346,3.14040184
2158584,2.14805603,0.01492190,0.11431241,0.06861409,-0.08745914,-0.04163968,0.99529743,-0.00604673,-0.01573337,0.01446819,-0.00024268,-0.04377600,-0.02085500,0.99882364,0.08757102,-0.04181204,3.14024639
2191376,2.18084788,0.00799387,0.03144257,0.06981317,-0.08921927,-0.04255759,0.99510240,-0.01795846,-0.00944436,-0.00584459,-0.00024678,-0.04465909,-0.02131593,0.99877481,0.08933806,-0.04274100,3.14017605
2224196,2.21366810,-0.00199847,0.03677182,0.05355895,-0.08746145,-0.04348394,0.99521818,0.01080129,-0.00485590,-0.00840175,-0.00021183,-0.04377848,-0.02177730,0.99880371,0.08757335,-0.04366509,3.14010334
2257036,2.24650788,-0.01838591,0.14921898,-0.01172435,-0.08919879,-0.04448433,0.99502010,-0.02164105,-0.01264457,-0.00600642,-0.00020751,-0.04465040,-0.02227918,0.99875431,0.08931750,-0.04467722,3.14001131
2289948,2.27941989,-0.01452220,0.10405360,0.01092496,-0.09115027,-0.04491856,0.99482336,-0.07510951,-0.01733730,0.01518643,-0.00022014,-0.04562927,-0.02249846,0.99870491,0.09127696,-0.04512165,3.13997244
2322860,2.31233191,-0.01652067,-0.03157581,0.07181164,-0.09306969,-0.04538667,0.99462442,-0.05243812,-0.01271880,-0.00487834,-0.00023746,-0.04659211,-0.02273497,0.99865512,0.09320459,-0.04560033,3.13994121
2355836,2.34530806,-0.02464778,0.06208576,0.08060490,-0.09503648,-0.04570140,0.99442415,-0.03850844,-0.00605641,-0.00663120,-0.00025951,-0.04757866,-0.02289499,0.99860496,0.09518013,-0.04592534,3.13992476
